Time;Command;AffectedRows;ElapsedTime
2018.04.10_00:17:41;DML_INSERT;20000;7586
2018.04.10_00:17:50;DML_INSERT;20000;8897
2018.04.10_00:17:58;DML_INSERT;20000;8214
2018.04.10_00:18:06;DML_INSERT;20000;7732
2018.04.10_00:18:14;DML_INSERT;20000;7936
2018.04.10_00:18:22;DML_INSERT;20000;8131
2018.04.10_00:18:30;DML_INSERT;20000;7607
2018.04.10_00:18:38;DML_INSERT;20000;7880
2018.04.10_00:18:46;DML_INSERT;20000;8164
2018.04.10_00:18:55;DML_INSERT;20000;8219
2018.04.10_00:19:04;DML_INSERT;20000;8870
2018.04.10_00:19:13;DML_INSERT;20000;8501
2018.04.10_00:19:20;DML_INSERT;20000;7287
2018.04.10_00:19:27;DML_INSERT;20000;7226
2018.04.10_00:19:35;DML_INSERT;20000;7348
2018.04.10_00:19:43;DML_INSERT;20000;7937
2018.04.10_00:19:51;DML_INSERT;20000;7634
2018.04.10_00:19:58;DML_INSERT;20000;7537
2018.04.10_00:20:07;DML_INSERT;20000;7973
2018.04.10_00:20:14;DML_INSERT;20000;7449
2018.04.10_00:20:22;DML_INSERT;20000;7320
2018.04.10_00:20:29;DML_INSERT;20000;7276
2018.04.10_00:20:37;DML_INSERT;20000;7525
2018.04.10_00:20:45;DML_INSERT;20000;7806
2018.04.10_00:20:53;DML_INSERT;20000;7892
2018.04.10_00:21:00;DML_INSERT;20000;7516
2018.04.10_00:21:08;DML_INSERT;20000;7724
2018.04.10_00:21:16;DML_INSERT;20000;7202
2018.04.10_00:21:23;DML_INSERT;20000;7271
2018.04.10_00:21:30;DML_INSERT;20000;7194
2018.04.10_00:21:38;DML_INSERT;20000;7604
2018.04.10_00:21:46;DML_INSERT;20000;7833
2018.04.10_00:21:53;DML_INSERT;20000;7206
2018.04.10_00:22:01;DML_INSERT;20000;7812
2018.04.10_00:22:09;DML_INSERT;20000;7600
2018.04.10_00:22:17;DML_INSERT;20000;7758
2018.04.10_00:22:24;DML_INSERT;20000;7177
2018.04.10_00:22:32;DML_INSERT;20000;7823
2018.04.10_00:22:41;DML_INSERT;20000;8208
2018.04.10_00:22:49;DML_INSERT;20000;8065
2018.04.10_00:22:57;DML_INSERT;20000;7420
2018.04.10_00:23:05;DML_INSERT;20000;8097
2018.04.10_00:23:13;DML_INSERT;20000;8093
2018.04.10_00:23:20;DML_INSERT;20000;7278
2018.04.10_00:23:28;DML_INSERT;20000;7205
2018.04.10_00:23:36;DML_INSERT;20000;7547
2018.04.10_00:23:43;DML_INSERT;20000;7327
2018.04.10_00:23:51;DML_INSERT;20000;8092
2018.04.10_00:23:59;DML_INSERT;20000;7323
2018.04.10_00:24:06;DML_INSERT;20000;7299
2018.04.10_00:24:15;DML_INSERT;20000;8623
2018.04.10_00:24:22;DML_INSERT;20000;7224
2018.04.10_00:24:30;DML_INSERT;20000;7195
2018.04.10_00:24:38;DML_INSERT;20000;7701
2018.04.10_00:24:46;DML_INSERT;20000;8051
2018.04.10_00:24:53;DML_INSERT;20000;7370
2018.04.10_00:25:02;DML_INSERT;20000;8298
2018.04.10_00:25:10;DML_INSERT;20000;8157
2018.04.10_00:25:18;DML_INSERT;20000;7694
2018.04.10_00:25:25;DML_INSERT;20000;7266
2018.04.10_00:25:33;DML_INSERT;20000;7391
2018.04.10_00:25:40;DML_INSERT;20000;7395
2018.04.10_00:25:48;DML_INSERT;20000;7456
2018.04.10_00:25:56;DML_INSERT;20000;7776
2018.04.10_00:26:03;DML_INSERT;20000;7410
2018.04.10_00:26:12;DML_INSERT;20000;8039
2018.04.10_00:26:20;DML_INSERT;20000;7720
2018.04.10_00:26:27;DML_INSERT;20000;7316
2018.04.10_00:26:34;DML_INSERT;20000;7359
