1111;Budapest XI. kerület;BU;47.482;19.054;3349.000;139049;73690
1112;Budapest XI. kerület;BU;47.473;19.008;3349.000;139049;73690
1113;Budapest XI. kerület;BU;47.475;19.037;3349.000;139049;73690
1114;Budapest XI. kerület;BU;47.500;19.083;3349.000;139049;73690
1115;Budapest XI. kerület;BU;47.500;19.083;3349.000;139049;73690
1116;Budapest XI. kerület;BU;47.444;19.041;3349.000;139049;73690
1117;Budapest XI. kerület;BU;47.501;19.038;3349.000;139049;73690
1118;Budapest XI. kerület;BU;47.485;19.033;3349.000;139049;73690
1119;Budapest XI. kerület;BU;47.457;19.040;3349.000;139049;73690
1121;Budapest XII. kerület;BU;47.501;19.008;2667.000;56544;33468
1122;Budapest XII. kerület;BU;47.500;19.083;2667.000;56544;33468
1123;Budapest XII. kerület;BU;47.494;19.024;2667.000;56544;33468
1124;Budapest XII. kerület;BU;47.500;19.083;2667.000;56544;33468
1125;Budapest XII. kerület;BU;47.500;19.083;2667.000;56544;33468
1126;Budapest XII. kerület;BU;47.500;19.083;2667.000;56544;33468
1131;Budapest XIII. kerület;BU;47.500;19.083;1344.000;113531;70249
1132;Budapest XIII. kerület;BU;47.497;19.078;1344.000;113531;70249
1133;Budapest XIII. kerület;BU;47.522;19.056;1344.000;113531;70249
1134;Budapest XIII. kerület;BU;47.524;19.065;1344.000;113531;70249
1135;Budapest XIII. kerület;BU;47.535;19.082;1344.000;113531;70249
1136;Budapest XIII. kerület;BU;47.500;19.083;1344.000;113531;70249
1137;Budapest XIII. kerület;BU;47.509;19.062;1344.000;113531;70249
1138;Budapest XIII. kerület;BU;47.524;19.046;1344.000;113531;70249
1139;Budapest XIII. kerület;BU;47.500;19.083;1344.000;113531;70249
1141;Budapest XIV. kerület;BU;47.499;19.069;1813.000;120148;70146
1142;Budapest XIV. kerület;BU;47.515;19.094;1813.000;120148;70146
1143;Budapest XIV. kerület;BU;47.514;19.127;1813.000;120148;70146
1144;Budapest XIV. kerület;BU;47.500;19.083;1813.000;120148;70146
1145;Budapest XIV. kerület;BU;47.514;19.104;1813.000;120148;70146
1146;Budapest XIV. kerület;BU;47.507;19.084;1813.000;120148;70146
1147;Budapest XIV. kerület;BU;47.500;19.083;1813.000;120148;70146
1148;Budapest XIV. kerület;BU;47.504;19.119;1813.000;120148;70146
1149;Budapest XIV. kerület;BU;47.514;19.127;1813.000;120148;70146
1151;Budapest XV. kerület;BU;47.500;19.083;2694.000;80218;38177
1152;Budapest XV. kerület;BU;47.548;19.131;2694.000;80218;38177
1153;Budapest XV. kerület;BU;47.500;19.083;2694.000;80218;38177
