76;1105;Budapest X. kerület;BU;47.500;19.083;3249.000;79270;37353
77;1106;Budapest X. kerület;BU;47.503;19.137;3249.000;79270;37353
78;1107;Budapest X. kerület;BU;47.500;19.083;3249.000;79270;37353
79;1108;Budapest X. kerület;BU;47.500;19.083;3249.000;79270;37353
80;1111;Budapest XI. kerület;BU;47.482;19.054;3349.000;139049;73690
81;1112;Budapest XI. kerület;BU;47.473;19.008;3349.000;139049;73690
82;1113;Budapest XI. kerület;BU;47.475;19.037;3349.000;139049;73690
83;1114;Budapest XI. kerület;BU;47.500;19.083;3349.000;139049;73690
84;1115;Budapest XI. kerület;BU;47.500;19.083;3349.000;139049;73690
85;1116;Budapest XI. kerület;BU;47.444;19.041;3349.000;139049;73690
86;1117;Budapest XI. kerület;BU;47.501;19.038;3349.000;139049;73690
87;1118;Budapest XI. kerület;BU;47.485;19.033;3349.000;139049;73690
88;1119;Budapest XI. kerület;BU;47.457;19.040;3349.000;139049;73690
89;1121;Budapest XII. kerület;BU;47.501;19.008;2667.000;56544;33468
90;1122;Budapest XII. kerület;BU;47.500;19.083;2667.000;56544;33468
91;1123;Budapest XII. kerület;BU;47.494;19.024;2667.000;56544;33468
92;1124;Budapest XII. kerület;BU;47.500;19.083;2667.000;56544;33468
93;1125;Budapest XII. kerület;BU;47.500;19.083;2667.000;56544;33468
94;1126;Budapest XII. kerület;BU;47.500;19.083;2667.000;56544;33468
95;1131;Budapest XIII. kerület;BU;47.500;19.083;1344.000;113531;70249
96;1132;Budapest XIII. kerület;BU;47.497;19.078;1344.000;113531;70249
97;1133;Budapest XIII. kerület;BU;47.522;19.056;1344.000;113531;70249
98;1134;Budapest XIII. kerület;BU;47.524;19.065;1344.000;113531;70249
99;1135;Budapest XIII. kerület;BU;47.535;19.082;1344.000;113531;70249
100;1136;Budapest XIII. kerület;BU;47.500;19.083;1344.000;113531;70249
101;1137;Budapest XIII. kerület;BU;47.509;19.062;1344.000;113531;70249
102;1138;Budapest XIII. kerület;BU;47.524;19.046;1344.000;113531;70249
103;1139;Budapest XIII. kerület;BU;47.500;19.083;1344.000;113531;70249
104;1141;Budapest XIV. kerület;BU;47.499;19.069;1813.000;120148;70146
105;1142;Budapest XIV. kerület;BU;47.515;19.094;1813.000;120148;70146
106;1143;Budapest XIV. kerület;BU;47.514;19.127;1813.000;120148;70146
107;1144;Budapest XIV. kerület;BU;47.500;19.083;1813.000;120148;70146
108;1145;Budapest XIV. kerület;BU;47.514;19.104;1813.000;120148;70146
109;1146;Budapest XIV. kerület;BU;47.507;19.084;1813.000;120148;70146
110;1147;Budapest XIV. kerület;BU;47.500;19.083;1813.000;120148;70146
111;1148;Budapest XIV. kerület;BU;47.504;19.119;1813.000;120148;70146
112;1149;Budapest XIV. kerület;BU;47.514;19.127;1813.000;120148;70146
113;1151;Budapest XV. kerület;BU;47.500;19.083;2694.000;80218;38177
114;1152;Budapest XV. kerület;BU;47.548;19.131;2694.000;80218;38177
115;1153;Budapest XV. kerület;BU;47.500;19.083;2694.000;80218;38177
116;1154;Budapest XV. kerület;BU;47.500;19.083;2694.000;80218;38177
117;1155;Budapest XV. kerület;BU;47.500;19.083;2694.000;80218;38177
118;1156;Budapest XV. kerület;BU;47.500;19.083;2694.000;80218;38177
119;1157;Budapest XV. kerület;BU;47.500;19.083;2694.000;80218;38177
120;1158;Budapest XV. kerület;BU;47.500;19.083;2694.000;80218;38177
121;1161;Budapest XVI. kerület;BU;47.500;19.083;3351.000;68484;29383
122;1162;Budapest XVI. kerület;BU;47.500;19.083;3351.000;68484;29383
123;1163;Budapest XVI. kerület;BU;47.500;19.083;3351.000;68484;29383
124;1164;Budapest XVI. kerület;BU;47.500;19.083;3351.000;68484;29383
125;1165;Budapest XVI. kerület;BU;47.500;19.083;3351.000;68484;29383
126;1171;Budapest XVII. kerület;BU;47.500;19.083;5482.000;78250;30971
127;1172;Budapest XVII. kerület;BU;47.500;19.083;5482.000;78250;30971
128;1173;Budapest XVII. kerület;BU;47.523;19.055;5482.000;78250;30971
129;1174;Budapest XVII. kerület;BU;47.500;19.083;5482.000;78250;30971
130;1181;Budapest XVIII. kerület;BU;47.500;19.083;3860.000;93225;42467
131;1182;Budapest XVIII. kerület;BU;47.500;19.083;3860.000;93225;42467
132;1183;Budapest XVIII. kerület;BU;47.500;19.083;3860.000;93225;42467
133;1184;Budapest XVIII. kerület;BU;47.500;19.083;3860.000;93225;42467
134;1185;Budapest XVIII. kerület;BU;47.500;19.083;3860.000;93225;42467
135;1186;Budapest XVIII. kerület;BU;47.500;19.083;3860.000;93225;42467
136;1188;Budapest XVIII. kerület;BU;47.500;19.083;3860.000;93225;42467
137;1191;Budapest XIX. kerület;BU;47.500;19.083;938.000;61610;27225
138;1192;Budapest XIX. kerület;BU;47.500;19.083;938.000;61610;27225
139;1193;Budapest XIX. kerület;BU;47.500;19.083;938.000;61610;27225
140;1194;Budapest XIX. kerület;BU;47.500;19.083;938.000;61610;27225
141;1195;Budapest XIX. kerület;BU;47.500;19.083;938.000;61610;27225
142;1196;Budapest XIX. kerület;BU;47.500;19.083;938.000;61610;27225
143;1201;Budapest XX. kerület;BU;47.500;19.083;1218.000;63371;30299
144;1202;Budapest XX. kerület;BU;47.500;19.083;1218.000;63371;30299
145;1203;Budapest XX. kerület;BU;47.500;19.083;1218.000;63371;30299
146;1204;Budapest XX. kerület;BU;47.500;19.083;1218.000;63371;30299
147;1205;Budapest XX. kerület;BU;47.500;19.083;1218.000;63371;30299
148;1211;Budapest XXI. kerület;BU;47.500;19.083;2575.000;76339;32634
149;1212;Budapest XXI. kerület;BU;47.484;19.123;2575.000;76339;32634
150;1213;Budapest XXI. kerület;BU;47.500;19.083;2575.000;76339;32634
151;1214;Budapest XXI. kerület;BU;47.500;19.083;2575.000;76339;32634
152;1215;Budapest XXI. kerület;BU;47.500;19.083;2575.000;76339;32634
153;1221;Budapest XXII. kerület;BU;47.500;19.083;3425.000;50499;21248
154;1222;Budapest XXII. kerület;BU;47.500;19.083;3425.000;50499;21248
155;1223;Budapest XXII. kerület;BU;47.500;19.083;3425.000;50499;21248
156;1224;Budapest XXII. kerület;BU;47.500;19.083;3425.000;50499;21248
157;1225;Budapest XXII. kerület;BU;47.500;19.083;3425.000;50499;21248
158;1237;Budapest XXIII. kerület;BU;47.500;19.083;4077.000;20387;8592
159;1238;Budapest XXIII. kerület;BU;47.500;19.083;4077.000;20387;8592
160;1239;Budapest XXIII. kerület;BU;47.500;19.083;4077.000;20387;8592
161;1529;Budapest XII. kerület;BU;47.500;19.083;2667.000;56544;33468
162;2000;Szentendre;PE;47.667;19.083;4382.000;25401;9519
163;2001;Szentendre;PE;47.667;19.083;4382.000;25401;9519
164;2002;Szentendre;PE;47.667;19.083;4382.000;25401;9519
165;2003;Szentendre;PE;47.667;19.083;4382.000;25401;9519
166;2009;Pilisszentlászló;PE;47.717;19.000;1775.000;1123;427
167;2011;Budakalász;PE;47.617;19.050;1517.000;10299;3638
168;2012;Budakalász;PE;47.617;19.050;1517.000;10299;3638
169;2013;Budakalász;PE;47.617;19.050;1517.000;10299;3638
170;2014;Csobánka;PE;47.633;18.967;2276.000;3169;989
171;2015;Szigetmonostor;PE;47.683;19.117;2351.000;2213;708
172;2016;Leányfalu;PE;47.717;19.083;1537.000;3475;1153
173;2017;Pócsmegyer;PE;47.717;19.100;1308.000;1733;566
174;2019;Pomáz;PE;47.650;19.033;4903.000;16677;5685
175;2021;Tahitótfalu;PE;47.750;19.100;3917.000;5404;1971
176;2022;Tahitótfalu;PE;47.750;19.100;3917.000;5404;1971
177;2023;Dunabogdány;PE;47.783;19.033;2550.000;3143;1116
178;2024;Kisoroszi;PE;47.800;19.017;1094.000;938;411
179;2025;Visegrád;PE;47.783;18.983;3327.000;1831;718
180;2026;Visegrád;PE;47.783;18.983;3327.000;1831;718
181;2027;Dömös;KE;47.767;18.917;2398.000;1167;486
182;2028;Pilismarót;KE;47.783;18.883;4459.000;2072;738
183;2030;Érd;PE;47.367;18.933;6054.000;63669;21993
184;2031;Érd;PE;47.367;18.933;6054.000;63669;21993
185;2032;Érd;PE;47.367;18.933;6054.000;63669;21993
186;2033;Érd;PE;47.367;18.933;6054.000;63669;21993
187;2035;Érd;PE;47.367;18.933;6054.000;63669;21993
188;2036;Érd;PE;47.367;18.933;6054.000;63669;21993
189;2038;Sóskút;PE;47.400;18.833;2767.000;3160;1109
190;2039;Pusztazámor;PE;47.400;18.783;927.000;1166;437
191;2040;Budaörs;PE;47.453;18.960;2359.000;28272;10269
192;2041;Budaörs;PE;47.450;18.967;2359.000;28272;10269
193;2042;Budaörs;PE;47.450;18.967;2359.000;28272;10269
194;2043;Budaörs;PE;47.450;18.967;2359.000;28272;10269
195;2044;Budaörs;PE;47.450;18.967;2359.000;28272;10269
196;2045;Törökbálint;PE;47.433;18.917;2940.000;13010;4507
197;2046;Törökbálint;PE;47.433;18.917;2940.000;13010;4507
198;2047;Törökbálint;PE;47.433;18.917;2940.000;13010;4507
199;2049;Diósd;PE;47.400;18.950;575.000;8612;3105
